PharmGKB Accession Id	Name	Alternate Names	Cross-references	External Vocabulary
PA446220	Abdominal Pain	"""AP - Abdominal pain"", ""Abdominal Pains"", ""Abdominal pain"", ""Pain, Abdominal"", ""Pains, Abdominal"", ""[D]Abdominal pain"""		MeSH:D015746(Abdominal Pain), SnoMedCT:207205003([D]Abdominal pain), SnoMedCT:21522001(Abdominal pain), UMLS:C0000737(C0000737), MedDRA:10000039(Abd. pain), NDFRT:N0000003309(Abdominal Pain [Disease/Finding]), HP:HP:0002027(Abdominal pain)
PA443224	Abnormalities, Drug-Induced	"""Abnormalities, Drug Induced"", ""Abnormality, Drug-Induced"", ""Drug Induced Abnormalities"", ""Drug-Induced Abnormalities"", ""Drug-Induced Abnormality"""		"""MeSH:D000014(Abnormalities, Drug-Induced)"", ""UMLS:C0000771(Abnormalities, Drug-Induced [Disease/Finding])"", ""NDFRT:N0000000265(Abnormalities, Drug-Induced [Disease/Finding])"", ""MONDO:MONDO:0016677(toxic or drug-related embryofetopathy)"""
PA444117	Abnormality of the eye	"""Abnormalities, Eye"", ""Abnormality, Eye"", ""Congenital abnormality of eye"", ""Congenital anolmaly of eye"", ""Congenital anomaly of eye"", ""Congenital anomaly of eye, NOS"", ""Congenital anomaly of the globe"", ""Congenital deformity of eye"", ""Congenital deformity of eye, NOS"", ""Congenital eye anomalies"", ""Congenital eye anomalies NOS"", ""Eye Abnormality"""		MeSH:D005124(Eye Abnormalities), SnoMedCT:19416009(Congenital anomaly of eye), SnoMedCT:204222005(Congenital eye anomalies NOS), UMLS:C0015393(C0015393), MedDRA:10010343(Congenital anomalies of eye), NDFRT:N0000001179(Eye Abnormalities [Disease/Finding]), HP:HP:0000478(Abnormality of the eye)
PA443227	Abortion, Spontaneous	"""Abortion, Tubal"", ""Abortions, Spontaneous"", ""Abortions, Tubal"", ""Miscarriage"", ""Miscarriage, NOS"", ""Miscarriages"", ""Spontaneous Abortion"", ""Spontaneous Abortions"", ""Spontaneous abortion NOS"", ""Spontaneous abortion unspecified"", ""Tubal Abortion"", ""Tubal Abortions"", ""Unspecified spontaneous abortion NOS"""		"""MeSH:D000022(Abortion, Spontaneous)"", ""SnoMedCT:17369002(Spontaneous abortion)"", ""SnoMedCT:198631006(Spontaneous abortion unspecified)"", ""SnoMedCT:198643007(Unspecified spontaneous abortion NOS)"", ""SnoMedCT:198689000(Spontaneous abortion NOS)"", ""UMLS:C0000786(C0000786)"", ""MedDRA:10000234(Abortion spontaneous)"", ""NDFRT:N0000000268(Abortion, Spontaneous [Disease/Finding])"", ""cpgxTags:pgkbTags:1452102240(Maternal Health)"", ""HP:HP:0005268(Miscarriage)"""
PA443235	Abscess	Abscess NOS, Abscess morphology, Abscesses, Acute abscess		MeSH:D000038(Abscess), SnoMedCT:128477000(Abscess), SnoMedCT:200694004(Abscess NOS), SnoMedCT:44132006(Abscess morphology), UMLS:C0000833(C0000833), MedDRA:10000269(Abscess), NDFRT:N0000000276(Abscess [Disease/Finding]), MONDO:MONDO:0005227(abscess), HP:HP:0025615(Abscess)
PA152408019	ACAD9 Deficiency	acyl-CoA dehydrogenase 9 deficiency		MedDRA:10081518(ACAD9 deficiency.), MONDO:MONDO:0012624(acyl-CoA dehydrogenase 9 deficiency)
PA165108199	Acanthamoeba keratitis			MONDO:MONDO:0005629(Acanthamoeba keratitis)
PA166048806	Acid-Base Imbalance			NDFRT:N0000000282(Acid-Base Imbalance), HP:HP:0004360(Abnormality of acid-base homeostasis)
PA443242	Acidosis	"""Acidaemia NOS"", ""Acidoses"", ""Acidosis, NOS"""		MeSH:D000138(Acidosis), SnoMedCT:190887001(Acidosis NOS), SnoMedCT:51387008(Acidosis), UMLS:C0001122(C0001122), MedDRA:10000486(Acidosis), NDFRT:N0000000283(Acidosis [Disease/Finding]), HP:HP:0001941(Acidosis)
PA443244	Acidosis, Renal Tubular	"""Acidoses, Renal Tubular"", ""Acidosis, Renal Tubular, Type I"", ""Acidosis, Renal Tubular, Type II"", ""Classic Distal Renal Tubular Acidosis"", ""Distal Renal Tubular Acidosis"", ""Proximal Renal Tubular Acidosis"", ""RTA"", ""RTA - Renal tubular acidosis"", ""RTA, NOS"", ""Renal Tubular Acidoses"", ""Renal Tubular Acidosis"", ""Renal tubular acidosis, NOS"", ""Renotubular acidaemia"", ""Renotubular acidemia"", ""Tubular Acidoses, Renal"", ""Tubular Acidosis, Renal"", ""Type I Renal Tubular Acidosis"", ""Type II Renal Tubular Acidosis"""		"""MeSH:D000141(Acidosis, Renal Tubular)"", ""SnoMedCT:1776003(Renal tubular acidosis)"", ""UMLS:C0001126(C0001126)"", ""MedDRA:10000494(Acidosis renal tubular)"", ""NDFRT:N0000000285(Acidosis, Renal Tubular [Disease/Finding])"", ""MONDO:MONDO:0001909(renal tubular acidosis)"", ""HP:HP:0001947(Renal tubular acidosis)"""
PA166048819	Acidosis, Respiratory			"""NDFRT:N0000000286(Acidosis, Respiratory)"", ""HP:HP:0005972(Respiratory acidosis)"""
PA166048775	Acinetobacter Infections			NDFRT:N0000000287(Acinetobacter Infections), MONDO:MONDO:0006635(Acinetobacter infectious disease)
PA443247	Acne Vulgaris	Acne, Acne vulgaris		MeSH:D000152(Acne Vulgaris), SnoMedCT:88616000(Acne vulgaris), UMLS:C0001144(C0001144), MedDRA:10000519(Acne vulgaris), NDFRT:N0000000288(Acne Vulgaris [Disease/Finding]), MONDO:MONDO:0011438(acne)
PA443250	Acquired Immunodeficiency Syndrome	"""AIDS"", ""AIDS, NOS"", ""AIDS-related complex"", ""Acquired Immune Deficiency Syndrome"", ""Acquired Immuno Deficiency Syndrome"", ""Acquired Immuno-Deficiency Syndrome"", ""Acquired Immuno-Deficiency Syndromes"", ""Acquired Immunodeficiency Syndromes"", ""Acquired human immunodeficiency virus infection syndrome NOS"", ""Acquired immunodeficiency syndrome"", ""Immuno-Deficiency Syndrome, Acquired"", ""Immuno-Deficiency Syndromes, Acquired"", ""Immunodeficiency Syndrome, Acquired"", ""Immunodeficiency Syndromes, Acquired"", ""Immunologic Deficiency Syndrome, Acquired"", ""Syndrome, Acquired Immuno-Deficiency"", ""Syndrome, Acquired Immunodeficiency"", ""Syndromes, Acquired Immuno-Deficiency"", ""Syndromes, Acquired Immunodeficiency"""		MeSH:D000163(Acquired Immunodeficiency Syndrome), MeSH:D000386(AIDS-Related Complex), SnoMedCT:186715004(Acquired human immunodeficiency virus infection syndrome NOS), SnoMedCT:62246005(Acquired immunodeficiency syndrome), SnoMedCT:62479008(Acquired immune deficiency syndrome), UMLS:C0001175(C0001175), UMLS:C0001857(C0001857), MedDRA:10000562(Acquired immune deficiency syndr), NDFRT:N0000000291(Acquired Immunodeficiency Syndrome [Disease/Finding]), MONDO:MONDO:0005639(AIDS related complex), MONDO:MONDO:0012268(AIDS)
PA447300	Acquired Long QT Syndrome (aLQTS)	Long QT syndrome caused by drug, drug-induced long QT		SnoMedCT:715971003(Long QT syndrome caused by drug)
PA152068054	Acquired partial lipodystrophy	"""Hollander-Simons syndrome"", ""Lipodystrophy, Acquired Partial"", ""Progressive partial lipodystrophy"""		SnoMedCT:75659004(Acquired partial lipodystrophy), UMLS:C0220989(C0220989), MedDRA:10053857(Partial lipodystrophy), MONDO:MONDO:0012104(acquired partial lipodystrophy)
PA152249159	Acrocephalopolysyndactyly type II	Carpenter Syndrome		SnoMedCT:403767009(Acrocephalopolysyndactyly type II), UMLS:C1275078(C1275078), MONDO:MONDO:0019012(Carpenter syndrome)
PA443254	Acromegaly	"""Hypersecretion Syndrome, Somatotropin (Acromegaly)"", ""Hypersecretion Syndromes, Somatotropin (Acromegaly)"", ""Inappropriate GH Secretion Syndrome (Acromegaly)"", ""Inappropriate Growth Hormone Secretion Syndrome (Acromegaly)"", ""Somatotropin Hypersecretion Syndrome (Acromegaly)"", ""Somatotropin Hypersecretion Syndromes (Acromegaly)"", ""Syndrome, Somatotropin Hypersecretion (Acromegaly)"", ""Syndromes, Somatotropin Hypersecretion (Acromegaly)"""		MONDO:MONDO:0019933(acromegaly)
PA166048822	Actinomycetales Infections			NDFRT:N0000000299(Actinomycetales Infections), MONDO:MONDO:0006921(Actinomycetales infectious disease)
PA165108511	Actinomycosis unspecified site NOS			MeSH:D000196(Actinomycosis), SnoMedCT:186405006(Actinomycosis unspecified site NOS), UMLS:C0001261(C0001261), MedDRA:10000620(Actinomycosis), NDFRT:N0000000300(Actinomycosis [Disease/Finding]), MONDO:MONDO:0005631(actinomycosis)
PA165109055	Acute abdomen			HP:HP:0033400(Acute abdomen)
PA166114455	Acute cellular rejection			SnoMedCT:40442005(Acute cellular graft rejection), MedDRA:10049237(Acute cellular rejection)
PA165108401	Acute coronary syndrome	ACS - Acute coronary syndrome		MeSH:D054058(Acute Coronary Syndrome), SnoMedCT:394659003(Acute coronary syndrome), UMLS:C0948089(C0948089), MedDRA:10051592(Acute coronary syndrome), NDFRT:N0000181188(Acute Coronary Syndrome [Disease/Finding]), MONDO:MONDO:0005053(ischemic disease), MONDO:MONDO:0005542(acute coronary syndrome), HP:HP:0033678(Acute coronary syndrome)
PA444683	Acute Kidney Failure	"""ARF - Acute renal failure"", ""Acute Kidney Failure"", ""Acute Kidney Failures"", ""Acute Kidney Insufficiencies"", ""Acute Kidney Insufficiency"", ""Acute Renal Failure"", ""Acute Renal Failures"", ""Acute Renal Insufficiencies"", ""Acute Renal Insufficiency"", ""Acute renal failure syndrome, NOS"", ""Failure, Acute Kidney"", ""Failure, Acute Renal"", ""Failures, Acute Kidney"", ""Failures, Acute Renal"", ""Insufficiencies, Acute Kidney"", ""Insufficiencies, Acute Renal"", ""Insufficiency, Acute Kidney"", ""Insufficiency, Acute Renal"", ""Kidney Failures, Acute"", ""Kidney Insufficiencies, Acute"", ""Kidney Insufficiency, Acute"", ""Renal Failure, Acute"", ""Renal Failures, Acute"", ""Renal Insufficiencies, Acute"", ""Renal Insufficiency, Acute"""		"""MeSH:D058186(Acute Kidney Injury)"", ""SnoMedCT:14669001(Acute renal failure syndrome)"", ""SnoMedCT:197653006(Acute renal failure NOS)"", ""UMLS:C0022660(C0022660)"", ""MedDRA:10000821(Acute kidney failure)"", ""NDFRT:N0000001749(Kidney Failure, Acute [Disease/Finding])"", ""MONDO:MONDO:0002492(acute kidney failure)"""
PA446155	Acute lymphoblastic leukemia	"""ALL, Childhood"", ""Acute Lymphoblastic Leukemia"", ""Acute Lymphoblastic Leukemias"", ""Acute Lymphocytic Leukemia"", ""Acute Lymphocytic Leukemias"", ""Acute lymphatic leukemia, L2 type"", ""Acute lymphoblastic leukaemia"", ""Acute lymphoblastic leukaemia, L2 type"", ""Acute lymphoblastic leukaemia, precursor-cell type"", ""Acute lymphoblastic leukaemia-lymphoma"", ""Acute lymphoblastic leukemia"", ""Acute lymphoblastic leukemia, precursor-cell type"", ""Acute lymphoblastic leukemia-lymphoma"", ""Acute lymphocytic leukaemia"", ""Acute lymphocytic leukaemia, L2 type"", ""Acute lymphocytic leukemia"", ""Acute lymphocytic leukemia, L2 type"", ""Acute lymphoid leukaemia, L2 type"", ""Acute lymphoid leukemia, L2 type"", ""Adult Acute Lymphocytic Leukemia"", ""Childhood ALL"", ""FAB L2"", ""L1 Lymphocytic Leukemia"", ""L1 Lymphocytic Leukemias"", ""L2 Lymphocytic Leukemia"", ""L2 Lymphocytic Leukemias"", ""Leukemia, Acute Lymphoblastic"", ""Leukemia, Acute Lymphocytic"", ""Leukemia, L1 Lymphocytic"", ""Leukemia, L2 Lymphocytic"", ""Leukemia, Lymphoblastic, Acute"", ""Leukemia, Lymphoblastic, Acute, L1"", ""Leukemia, Lymphoblastic, Acute, L2"", ""Leukemia, Lymphoblastic, Acute, Philadelphia-Positive"", ""Leukemia, Lymphocytic, Acute"", ""Leukemia, Lymphocytic, Acute, Adult"", ""Leukemia, Lymphocytic, Acute, L1"", ""Leukemia, Lymphocytic, Acute, L2"", ""Leukemias, Acute Lymphoblastic"", ""Leukemias, Acute Lymphocytic"", ""Leukemias, L1 Lymphocytic"", ""Leukemias, L2 Lymphocytic"", ""Lymphoblastic Leukemia, Acute"", ""Lymphoblastic Leukemia, Acute L1"", ""Lymphoblastic Leukemia, Acute, Adult"", ""Lymphoblastic Leukemia, Acute, Childhood"", ""Lymphoblastic Leukemia, Acute, L1"", ""Lymphoblastic Leukemia, Acute, L2"", ""Lymphoblastic Leukemias, Acute"", ""Lymphoblastic leukaemia"", ""Lymphoblastic leukaemia, L2 type"", ""Lymphoblastic leukemia"", ""Lymphocytic Leukemia, Acute"", ""Lymphocytic Leukemia, L1"", ""Lymphocytic Leukemia, L2"", ""Lymphocytic Leukemias, Acute"", ""Lymphocytic Leukemias, L1"", ""Lymphocytic Leukemias, L2"", ""Precursor Cell Lymphoblastic Leukemia-Lymphoma"", ""Precursor cell lymphoblastic leukaemia, not phenotyped"", ""Precursor cell lymphoblastic leukemia, not phenotyped"", ""acute lymphoblastic leukemia (organ transplant recipients)"", ""childhood acute lymphoblastic leukaemia"""		MeSH:D054198(Precursor Cell Lymphoblastic Leukemia-Lymphoma), SnoMedCT:128822004(Precursor cell lymphoblastic leukemia), UMLS:C1961102(C1961102), NDFRT:N0000181267(Precursor Cell Lymphoblastic Leukemia-Lymphoma [Disease/Finding]), MONDO:MONDO:0004967(acute lymphoblastic leukemia)
PA164924608	Acute Necrotizing Encephalopathy	familial acute necrotizing encephalopathy		MONDO:MONDO:0011953(familial acute necrotizing encephalopathy), HP:HP:0006965(Acute necrotizing encephalopathy)
PA165108252	Acute necrotizing pancreatitis	Necrotizing pancreatitis		MONDO:MONDO:0850420(acute necrotizing pancreatitis)
PA443265	Adenocarcinoma	"""Adenocarcinoma, Basal Cell"", ""Adenocarcinoma, Granular Cell"", ""Adenocarcinoma, NOS"", ""Adenocarcinoma, Oxyphilic"", ""Adenocarcinoma, Tubular"", ""Adenocarcinoma, no subtype"", ""Adenocarcinomas"", ""Adenocarcinomas, Basal Cell"", ""Adenocarcinomas, Granular Cell"", ""Adenocarcinomas, Oxyphilic"", ""Adenocarcinomas, Tubular"", ""Adenoma, Malignant"", ""Adenomas, Malignant"", ""Basal Cell Adenocarcinoma"", ""Basal Cell Adenocarcinomas"", ""Carcinoma, Cribriform"", ""Carcinoma, Granular Cell"", ""Carcinoma, Tubular"", ""Carcinomas, Cribriform"", ""Carcinomas, Granular Cell"", ""Carcinomas, Tubular"", ""Cribriform Carcinoma"", ""Cribriform Carcinomas"", ""Granular Cell Adenocarcinoma"", ""Granular Cell Adenocarcinomas"", ""Granular Cell Carcinoma"", ""Granular Cell Carcinomas"", ""Malignant Adenoma"", ""Malignant Adenomas"", ""Oxyphilic Adenocarcinoma"", ""Oxyphilic Adenocarcinomas"", ""Tubular Adenocarcinoma"", ""Tubular Adenocarcinomas"", ""Tubular Carcinoma"", ""Tubular Carcinomas"""		"""MeSH:D000230(Adenocarcinoma)"", ""SnoMedCT:35917007(Adenocarcinoma, no subtype)"", ""UMLS:C0001418(C0001418)"", ""MedDRA:10001141(Adenocarcinoma)"", ""NDFRT:N0000000306(Adenocarcinoma [Disease/Finding])"", ""MONDO:MONDO:0004970(adenocarcinoma)"""
PA443615	Adenocarcinoma, Bronchiolo-Alveolar	"""Adenocarcinoma, Alveolar"", ""Adenocarcinoma, Bronchiolo Alveolar"", ""Adenocarcinomas, Alveolar"", ""Adenocarcinomas, Bronchiolo-Alveolar"", ""Alveolar Adenocarcinoma"", ""Alveolar Adenocarcinomas"", ""Alveolar Carcinoma"", ""Alveolar Carcinomas"", ""Alveolar adenocarcinoma"", ""Alveolar carcinoma"", ""Alveolar cell carcinoma"", ""Bronchiolar Carcinoma"", ""Bronchiolar Carcinomas"", ""Bronchiolar adenocarcinoma"", ""Bronchiolar carcinoma"", ""Bronchiolo-Alveolar Adenocarcinoma"", ""Bronchiolo-Alveolar Adenocarcinomas"", ""Bronchiolo-Alveolar Carcinoma"", ""Bronchiolo-Alveolar Carcinomas"", ""Bronchiolo-alveolar adenocarcinoma"", ""Bronchiolo-alveolar carcinoma"", ""Bronchioloalveolar Carcinoma"", ""Bronchioloalveolar Carcinomas"", ""Bronchioloalveolar carcinoma"", ""Carcinoma, Alveolar"", ""Carcinoma, Bronchiolar"", ""Carcinoma, Bronchiolo Alveolar"", ""Carcinoma, Bronchiolo-Alveolar"", ""Carcinoma, Bronchioloalveolar"", ""Carcinomas, Alveolar"", ""Carcinomas, Bronchiolar"", ""Carcinomas, Bronchiolo-Alveolar"", ""Carcinomas, Bronchioloalveolar"", ""[M]Bronchiolo-alveolar adenocarcinoma"""		"""MeSH:D002282(Adenocarcinoma, Bronchiolo-Alveolar)"", ""SnoMedCT:112677002(Bronchiolo-alveolar adenocarcinoma)"", ""SnoMedCT:36310008(Alveolar adenocarcinoma)"", ""SnoMedCT:373627005(Bronchioloalveolar carcinoma)"", ""UMLS:C0007120(C0007120)"", ""MedDRA:10049876(Alveolar cell carcinoma)"", ""NDFRT:N0000000669(Adenocarcinoma, Bronchiolo-Alveolar [Disease/Finding])"", ""MONDO:MONDO:0004991(minimally invasive lung adenocarcinoma)"""
PA443269	Adenoma	"""Adenoma, Basal Cell"", ""Adenoma, Follicular"", ""Adenoma, Microcystic"", ""Adenoma, Monomorphic"", ""Adenoma, Papillary"", ""Adenoma, Trabecular"", ""Adenoma, no subtype"", ""Adenomas"", ""Adenomas, Basal Cell"", ""Adenomas, Follicular"", ""Adenomas, Microcystic"", ""Adenomas, Monomorphic"", ""Adenomas, Papillary"", ""Adenomas, Trabecular"", ""Basal Cell Adenoma"", ""Basal Cell Adenomas"", ""Follicular Adenoma"", ""Follicular Adenomas"", ""Microcystic Adenoma"", ""Microcystic Adenomas"", ""Monomorphic Adenoma"", ""Monomorphic Adenomas"", ""Papillary Adenoma"", ""Papillary Adenomas"", ""Trabecular Adenoma"", ""Trabecular Adenomas"""		MeSH:D000236(Adenoma), SnoMedCT:32048006(Adenoma), UMLS:C0001430(C0001430), MedDRA:10001231(Adenoma), NDFRT:N0000000310(Adenoma [Disease/Finding]), MONDO:MONDO:0004972(adenoma)
PA446629	Adenoma, Liver Cell	"""Adenoma, Hepatocellular"", ""Adenomas, Hepatocellular"", ""Adenomas, Liver Cell"", ""Benign Hepatoma"", ""Benign Hepatomas"", ""Benign hepatoma"", ""Hepatocellular Adenoma"", ""Hepatocellular Adenomas"", ""Hepatocellular adenoma"", ""Hepatoma, Benign"", ""Hepatomas, Benign"", ""Liver Cell Adenoma"", ""Liver Cell Adenomas"""		"""MeSH:D018248(Adenoma, Liver Cell)"", ""SnoMedCT:78058005(Liver cell adenoma)"", ""UMLS:C0206669(C0206669)"", ""MedDRA:10019827(Hepatocellular adenoma)"", ""NDFRT:N0000003720(Adenoma, Liver Cell [Disease/Finding])"", ""MONDO:MONDO:0018902(hepatocellular adenoma)"""
PA445381	Adenomatous Polyposis Coli	"""APC - Adenomatous polyposis coli"", ""Adenomatosis, NOS"", ""Adenomatous Polyposis Coli, Familial"", ""Adenomatous Polyposis of the Colon"", ""Adenomatous polyposis"", ""Adenomatous polyposis coli"", ""FAP - Familial adenomatous polyposis"", ""FPC - Familial polyposis coli"", ""Familial Adenomatous Polyposis Coli"", ""Familial Polyposis Coli"", ""Familial Polyposis Syndrome"", ""Familial Polyposis Syndromes"", ""Familial adenomatous polyposis"", ""Familial multiple polyposis syndrome"", ""Familial polyposis coli"", ""Polyposis Coli, Adenomatous"", ""Polyposis Coli, Familial"", ""Polyposis Syndrome, Familial"", ""Polyposis Syndromes, Familial"", ""Polyposis coli"", ""Syndrome, Familial Polyposis"", ""Syndromes, Familial Polyposis"", ""[M]Familial polyposis coli"""		MeSH:D011125(Adenomatous Polyposis Coli), SnoMedCT:70921007(Adenomatous polyposis coli), SnoMedCT:72900001(Familial multiple polyposis syndrome), UMLS:C0032580(C0032580), MedDRA:10056981(Adenomatous polyposis coli), NDFRT:N0000002457(Adenomatous Polyposis Coli [Disease/Finding]), MONDO:MONDO:0021055(classic familial adenomatous polyposis), HP:HP:0005227(Adenomatous colonic polyposis)
PA446579	Adenosquamous Carcinoma	"""Adenosquamous Carcinoma"", ""Adenosquamous Carcinomas"", ""Adenosquamous cell carcinoma"", ""Carcinomas, Adenosquamous"", ""Mixed adenocarcinoma and epidermoid carcinoma"""		"""MeSH:D018196(Carcinoma, Adenosquamous)"", ""SnoMedCT:403902008(Adenosquamous cell carcinoma)"", ""SnoMedCT:59367005(Adenosquamous carcinoma)"", ""UMLS:C0206623(C0206623)"", ""MedDRA:10068873(Adenosquamous cell carcinoma)"", ""NDFRT:N0000003670(Carcinoma, Adenosquamous [Disease/Finding])"", ""MONDO:MONDO:0006074(adenosquamous carcinoma)"""
PA443275	Adhesion	"""Adhesion"", ""Adhesion, NOS"", ""Adhesions"""		MeSH:D000267(Tissue Adhesions), SnoMedCT:42685002(Adhesion), UMLS:C0001511(C0001511), MedDRA:10059837(Adhesion), NDFRT:N0000000316(Tissue Adhesions [Disease/Finding])
PA166048907	Adolescent			NDFRT:N0000010214(Adolescent)
PA165108409	Adrenal gland disorder NOS			MeSH:D000307(Adrenal Gland Diseases), SnoMedCT:190532009(Adrenal gland disorder NOS), UMLS:C0001621(C0001621), MedDRA:10001347(Adrenal disorder), NDFRT:N0000000324(Adrenal Gland Diseases [Disease/Finding]), MONDO:MONDO:0005495(adrenal gland disorder)
PA443286	Adrenal Hyperplasia, Congenital	"""Adrenal Hyperplasias, Congenital"", ""Adrenogenital Syndrome"", ""Adrenogenital Syndromes"", ""CAH - Congenital adrenal hyperplasia"", ""Congenital Adrenal Hyperplasia"", ""Congenital Adrenal Hyperplasias"", ""Congenital adrenal cortical hyperplasia"", ""Congenital adrenal hyperplasia"", ""Hyperplasia, Congenital Adrenal"", ""Hyperplasias, Congenital Adrenal"", ""Syndrome, Adrenogenital"", ""Syndromes, Adrenogenital"""		"""MeSH:D000312(Adrenal Hyperplasia, Congenital)"", ""SnoMedCT:237751000(Congenital adrenal hyperplasia)"", ""UMLS:C0001627(C0001627)"", ""MedDRA:10010323(Congenital adrenal hyperplasia)"", ""NDFRT:N0000000328(Adrenal Hyperplasia, Congenital [Disease/Finding])"", ""MONDO:MONDO:0018479(congenital adrenal hyperplasia)"", ""HP:HP:0008258(Congenital adrenal hyperplasia)"""
PA166048741	Adrenal Insufficiency			NDFRT:N0000000326(Adrenal Insufficiency), HP:HP:0000846(Adrenal insufficiency)
PA446644	Adrenocortical Carcinoma	"""Adrenal Cortical Carcinoma"", ""Adrenal Cortical Carcinomas"", ""Adrenal cortical adenocarcinoma"", ""Adrenal cortical carcinoma"", ""Adrenal cortical tumor, malignant"", ""Adrenal cortical tumour, malignant"", ""Adrenocortical Carcinoma"", ""Adrenocortical Carcinomas"", ""Carcinoma, Adrenal Cortical"", ""Carcinoma, Adrenocortical"", ""Carcinomas, Adrenal Cortical"", ""Carcinomas, Adrenocortical"""		MeSH:D018268(Adrenocortical Carcinoma), SnoMedCT:2227007(Adrenal cortical carcinoma), UMLS:C0206686(C0206686), MedDRA:10055076(Adrenal adenocarcinoma), NDFRT:N0000003735(Adrenocortical Carcinoma [Disease/Finding]), HP:HP:0006744(Adrenocortical carcinoma)
PA443283	Adrenocortical Hyperfunction	"""Adrenal Gland Hyperfunction"", ""Adrenal Gland Hyperfunctions"", ""Cushing's syndrome"", ""Disorder of corticoadrenal overactivity"", ""Gland Hyperfunction, Adrenal"", ""Gland Hyperfunctions, Adrenal"", ""Hypercorticism"", ""Hypercorticisms"", ""Hypercortisolism"", ""Hyperfunction, Adrenal Gland"", ""Hyperfunctions, Adrenal Gland"", ""Itsenko disease"", ""Overproduction of cortisol"", ""Suprarenogenic syndrome"""		MeSH:D000308(Adrenocortical Hyperfunction), SnoMedCT:275437005(Adrenocortical hyperfunction), SnoMedCT:47270006(Hypercortisolism), UMLS:C0001622(C0001622), MedDRA:10001332(Adrenal cortex hyperfunction), NDFRT:N0000000325(Adrenocortical Hyperfunction [Disease/Finding]), MONDO:MONDO:0006640(adrenal gland hyperfunction), MONDO:MONDO:0018912(Cushing syndrome)
PA443288	Adrenoleukodystrophy	"""ALD"", ""ALD (Adrenoleukodystrophy)"", ""ALDs (Adrenoleukodystrophy)"", ""Adrenoleukodystrophies"", ""Adrenoleukodystrophies, X-linked"", ""Adrenoleukodystrophy, X-linked"", ""Adrenomyeloneuropathies"", ""Adrenomyeloneuropathy"", ""Schilder Addison Complex"", ""Schilder-Addison Complex"", ""X linked Adrenoleukodystrophy"", ""X-linked Adrenoleukodystrophies"", ""X-linked Adrenoleukodystrophy"""		MeSH:D000326(Adrenoleukodystrophy), SnoMedCT:65389002(Adrenoleukodystrophy), UMLS:C0162309(C0162309), MedDRA:10051260(Adrenoleukodystrophy), NDFRT:N0000000330(Adrenoleukodystrophy [Disease/Finding]), MONDO:MONDO:0018544(adrenoleukodystrophy)
PA446366	Adult-onset Still disease	"""Adult Onset Still Disease"", ""Adult Onset Still's Disease"", ""Adult onset Still's disease"", ""Adult-Onset Still Disease"", ""Adult-Onset Still's Disease"", ""Adult-Onset Stills Disease"", ""Still Disease, Adult Onset"", ""Still Disease, Adult-Onset"", ""Still's Disease, Adult Onset"", ""Stills Disease, Adult-Onset"""		"""MeSH:D016706(Still's Disease, Adult-Onset)"", ""SnoMedCT:239920006(Adult onset Still's disease)"", ""UMLS:C0085253(C0085253)"", ""MedDRA:10064056(Still's disease adult onset)"", ""NDFRT:N0000003457(Still's Disease, Adult-Onset [Disease/Finding])"", ""MONDO:MONDO:0019355(adult-onset Still disease)"""
PA166165020	adverse cardiovascular events			
PA166151827	adverse events			
PA443291	Afibrinogenemia	"""Afibrinogenaemia"", ""Afibrinogenemias"", ""Complement factor 3i deficiency"", ""Deficiencies, Fibrinogen"", ""Deficiency, Fibrinogen"", ""Factor I deficiency"", ""Fibrinogen Deficiencies"", ""Fibrinogen Deficiency"", ""Fibrinogen deficiency"""		MeSH:D000347(Afibrinogenemia), SnoMedCT:234621005(Factor I deficiency), SnoMedCT:278504009(Afibrinogenaemia), SnoMedCT:359727008(Fibrinogen deficiency), UMLS:C0001733(C0001733), MedDRA:10052651(Afibrinogenaemia), NDFRT:N0000000334(Afibrinogenemia [Disease/Finding]), MONDO:MONDO:0008737(congenital afibrinogenemia), HP:HP:0034287(Afibrinogenemia)
PA443294	Agammaglobulinemia	Agammaglobulinaemia, Agammaglobulinemias, Hypogammaglobulinemia, Hypogammaglobulinemias		MeSH:D000361(Agammaglobulinemia), SnoMedCT:119249001(Agammaglobulinaemia), UMLS:C0001768(C0001768), MedDRA:10001470(Agammaglobulinaemia), NDFRT:N0000000337(Agammaglobulinemia [Disease/Finding]), MONDO:MONDO:0015977(agammaglobulinemia), HP:HP:0004432(Agammaglobulinemia)
PA166129558	Aggression			MeSH:D000374(Aggression), MedDRA:10001488(Aggression), HP:HP:0000718(Aggressive behavior)
PA166257721	aging	Ageing, Mortality/Aging		SnoMedCT:248280005(Aging)
PA166123306	Agitation			MedDRA:10001497(Agitation), HP:HP:0000713(Agitation)
PA447194	Agoraphobia	Fear of open places, Phobia of going out		MeSH:D000379(Agoraphobia), SnoMedCT:247830007(Fear of open spaces), SnoMedCT:70691001(Agoraphobia), UMLS:C0001818(C0001818), MedDRA:10001502(Agoraphobia), NDFRT:N0000000340(Agoraphobia [Disease/Finding]), MONDO:MONDO:0003709(agoraphobia), HP:HP:0000756(Agoraphobia)
